site_no,yr,season,Wtemp,flow,prcp,tmax,alt,lat,long,drain,basin,num_fires_state,acres_state,num_fires_basin,acres_basin
06711565,2000,Fall,7.772222222222222,62.71111111111111,0.6515555539064941,12.060922276808157,5250,39.66498738,-105.004149,3391,South Platte,0,0,0,0
06711565,2000,Spring,13.693406593406593,270.7802197802198,1.0901098962013533,22.077175800309895,5250,39.66498738,-105.004149,3391,South Platte,3,1949.1869202,0,0
06711565,2000,Summer,20.27341772151899,166.16455696202533,1.7893670780136242,31.133696230151983,5250,39.66498738,-105.004149,3391,South Platte,7,5999.54163802,0,0
06711565,2000,Winter,4.620224719101124,99.56179775280899,0.5233707853247612,10.610438237029514,5250,39.66498738,-105.004149,3391,South Platte,40,57858.83560828,2,19004.97713784
06711565,2001,Fall,8.882222222222222,50.49,0.3925555440286795,16.690299987130697,5250,39.66498738,-105.004149,3391,South Platte,3,376.13286966000004,0,0
06711565,2001,Spring,13.368817204301076,216.80645161290323,1.8522580509945272,20.06304304189579,5250,39.66498738,-105.004149,3391,South Platte,3,246.75861391,0,0
06711565,2001,Summer,20.577659574468086,183.87234042553192,1.4610638361463832,30.689542679076503,5250,39.66498738,-105.004149,3391,South Platte,20,9499.25241797,1,3.26151088
06711565,2001,Winter,4.161363636363636,89.94545454545455,0.6577272811396554,7.716340897435491,5250,39.66498738,-105.004149,3391,South Platte,4,1113.01314581,0,0
06711565,2002,Fall,4.957142857142857,20.814285714285713,0.15714285568315142,10.597918343787295,5250,39.66498738,-105.004149,3391,South Platte,0,0,0,0
06711565,2002,Spring,14.478494623655914,62.54516129032258,0.6159139826733578,21.228204247772055,5250,39.66498738,-105.004149,3391,South Platte,19,43421.36896243,5,6979.56356847
06711565,2002,Summer,21.936904761904763,29.788095238095238,0.7532142832476113,32.182857059297106,5250,39.66498738,-105.004149,3391,South Platte,44,327105.85329854,2,142260.45926416
06711565,2002,Winter,3.393181818181818,51.81363636363636,0.6169318160550156,8.103636347180737,5250,39.66498738,-105.004149,3391,South Platte,11,4651.55378259,0,0
06711565,2003,Fall,8.707777777777778,38.187777777777775,0.23877777291668817,15.363366740279725,5250,39.66498738,-105.004149,3391,South Platte,10,5335.17536926,2,4269.86168438
06711565,2003,Spring,12.515555555555556,366.6333333333333,1.5783333621919162,19.695744469430707,5250,39.66498738,-105.004149,3391,South Platte,0,0,0,0
06711565,2003,Summer,21.027659574468085,130.84787234042554,0.9255319101973727,30.26584043908626,5250,39.66498738,-105.004149,3391,South Platte,37,18240.7794123,0,0
06711565,2003,Winter,4.529885057471264,24.242528735632185,0.3218390838853243,10.051551716423583,5250,39.66498738,-105.004149,3391,South Platte,2,51.12750748,0,0
06711565,2004,Fall,8.688888888888888,111.00222222222223,1.2712222310403984,14.029177747749623,5250,39.66498738,-105.004149,3391,South Platte,1,4180.77995458,0,0
06711565,2004,Spring,14.307865168539326,179.31685393258428,1.6423595263047153,21.295932572879153,5250,39.66498738,-105.004149,3391,South Platte,6,16789.34113958,1,8908.66869729
06711565,2004,Summer,19.417021276595744,274.7063829787234,1.6811702261540165,27.773287174549505,5250,39.66498738,-105.004149,3391,South Platte,15,5352.7083386799995,0,0
06711565,2004,Winter,4.414606741573034,57.50561797752809,0.6169663021403752,9.212146036787315,5250,39.66498738,-105.004149,3391,South Platte,0,0,0,0
06711565,2005,Fall,8.692222222222222,84.42777777777778,1.0313333106123737,14.563444407532614,5250,39.66498738,-105.004149,3391,South Platte,2,314.59252021,0,0
06711565,2005,Spring,12.095555555555556,490.15444444444444,1.6699999957448914,18.838100005603494,5250,39.66498738,-105.004149,3391,South Platte,1,58.2496945,0,0
06711565,2005,Summer,20.72659574468085,182.7776595744681,1.1508510544935755,31.09236185601417,5250,39.66498738,-105.004149,3391,South Platte,34,21463.684902459998,0,0
06711565,2005,Winter,5.105681818181818,51.49090909090909,0.3805681840008633,10.681159069719303,5250,39.66498738,-105.004149,3391,South Platte,0,0,0,0
06711565,2006,Fall,8.70561797752809,122.69662921348315,0.7551685410938904,14.31825843976622,5250,39.66498738,-105.004149,3391,South Platte,1,9.06416149,1,9.06416149
06711565,2006,Spring,14.77741935483871,121.96021505376343,0.5761290364047531,22.17168825608428,5250,39.66498738,-105.004149,3391,South Platte,11,3937.00595041,0,0
06711565,2006,Summer,20.152127659574468,249.34148936170212,1.6026595920482838,28.432819183836592,5250,39.66498738,-105.004149,3391,South Platte,22,24699.73315004,0,0
06711565,2006,Winter,4.385365853658537,43.65,0.6858536678298223,9.816524402397434,5250,39.66498738,-105.004149,3391,South Platte,0,0,0,0
06711565,2007,Fall,9.195555555555556,112.21777777777778,0.6292222183818625,15.28874440193176,5250,39.66498738,-105.004149,3391,South Platte,3,300.3962977,0,0
06711565,2007,Spring,12.01,1407.95,2.263499963772483,20.538549983873967,5250,39.66498738,-105.004149,3391,South Platte,10,932.8649266699999,0,0
06711565,2007,Summer,20.291011235955057,452.314606741573,1.2444943764948104,30.84414596771926,5250,39.66498738,-105.004149,3391,South Platte,33,10534.40856926,0,0
06711565,2007,Winter,2.9909090909090907,110.72613636363636,0.847272721627219,6.2126022973521176,5250,39.66498738,-105.004149,3391,South Platte,0,0,0,0
06711565,2008,Fall,9.173863636363636,51.080681818181816,0.5007954498075625,15.822477261451159,5250,39.66498738,-105.004149,3391,South Platte,4,1880.5336740100001,0,0
06711565,2008,Spring,12.545348837209302,240.8825581395349,0.8720930248152379,19.260302277498464,5250,39.66498738,-105.004149,3391,South Platte,3,45844.236626930004,0,0
